"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","107.5","0","0","0","35.85","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","105","0","0","0","49.75","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","112.5","0","0","0","31.15","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","115","0","0","0","44.2","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","117.5","0","0","0","26.7","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","120","0","0","0","34","34","161.65","0","0","0","4000","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","122.5","0","0","0","22.5","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","125","0","0","0","39.25","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","127.5","0","0","0","18.6","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","130","0","0","0","36.95","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","132.5","0","0","0","15.15","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","135","0","0","0","34.8","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","137.5","0","0","0","12.1","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","140","19","27.9","19","27.9","27.9","161.65","3","19.7","2.9","80000","-4000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","142.5","0","0","0","9.5","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","145","21.55","21.55","21.55","21.55","21.55","161.65","1","6.66",".86","24000","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","147.5","0","0","0","13.25","13.25","161.65","0","0","0","12000","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","150","3.25","18.5","3.25","12","12","161.65","12","77.73","5.73","124000","-16000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","152.5","10.1","10.1","10.1","10.1","10.1","161.65","2","13.01",".81","20000","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","155","1.3","13","1.3","6.5","6.5","161.65","25","163.97","8.97","48000","-36000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","157.5","3.3","4","3.3","4","4","161.65","2","12.89",".29","16000","4000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","160","0.4","9.5","0.4","2.2","2","161.65","297","1950.64","49.84","100000","-300000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","162.5","0.8","6.2","0.1","0.45","2","161.65","16","105.19","1.19","16000","-8000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","165","0.95","6","0.05","0.2","0.05","161.65","223","1489.98","18.18","68000","-132000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","167.5","0","0","0","3.85","3.85","161.65","0","0","0","4000","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","170","0.4","2.8","0.05","0.05","0.05","161.65","507","3472.24","24.64","232000","-172000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","172.5","0","0","0","1.55","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","175","0.35","1.3","0.05","0.05","0.05","161.65","93","652.75","1.75","92000","-12000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","177.5","0","0","0","1.1","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","180","0.05","0.6","0.05","0.05","0.05","161.65","112","807.47","1.07","364000","-64000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","182.5","0","0","0","0.75","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","185","0","0","0","0.4","0.4","161.65","0","0","0","12000","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","187.5","0","0","0","0.55","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","190","0.05","0.15","0.05","0.05","0.05","161.65","8","60.83",".03","152000","-8000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","192.5","0","0","0","0.35","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","195","0","0","0","1","1","161.65","0","0","0","8000","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","197.5","0","0","0","0.25","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","200","0.05","0.05","0.05","0.05","0.05","161.65","3","24.01",".01","424000","4000","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","80","0","0","0","66.45","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","85","0","0","0","62.75","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","90","0","0","0","59.25","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","92.5","0","0","0","50.5","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","95","0","0","0","55.95","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","97.5","0","0","0","45.55","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","100","0","0","0","52.75","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","102.5","0","0","0","40.65","0","161.65","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","25-Jun-2020","CE","110","0","0","0","32","32","161.65","0","0","0","4000","0","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","147.5","0","0","0","12.2","0","19.05","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","150","21.75","22","20","22","22","17.4","5","34.15","4.15","16000","12000","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","152.5","0","0","0","10.3","0","15.8","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","140","28.35","28.35","28.35","28.35","28.35","24.65","4","26.94","4.54","16000","16000","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","142.5","0","0","0","14.4","0","22.7","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","145","24.8","24.8","24.8","24.8","24.8","20.85","4","27.17","3.97","16000","16000","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","135","0","0","0","26.3","0","28.75","0","0","0","0","0","161.65"
"ADANIENT","25-Jun-2020","30-Jul-2020","CE","137.5","0","0","0","16.85","0","26.65","0","0","0","0","0","161.65"
